question,answer,phi,llama,gemini,mixtral,claude,gpt
Can a program include more than one concentration?,"Yes, programs may have multiple concentrations within the major."," Yes, at the University of South Carolina, students in certain programs can pursue more than one concentration. It's advisable to check specific department guidelines or contact the academic advisor for accurate information regarding your program of interest. This allows for a more versatile skill set and academic focus.","Yes! Many undergraduate programs at USC offer multiple concentration options. These concentrations provide a more focused area of study within a broader major. For example, the Business Administration major may offer concentrations in Accounting, Finance, or Marketing. It's always best to check the specific program details with the academic department or the University's course catalog for the most accurate information!","Yes! Many programs at USC allow students to choose multiple concentrations within their major. 
"," Yes, at USC, many programs allow students to combine multiple concentrations or specializations, offering diverse and personalized academic paths.","Yes, many USC programs offer multiple concentrations. Students can often choose one or more concentrations within their major to specialize their studies. However, specific options vary by program, so it's best to check with the individual department or academic advisor for details.","Yes, some programs at USC offer multiple concentrations, allowing students to tailor their studies to specific interests or career goals. Check the specific program's requirements on USC's website or contact an academic advisor for detailed information on available concentrations."
Can I choose specific (prescribed) courses as part of the Carolina Core for my program?,Yes. Certain programs may require courses that are approved as Carolina Core foundational courses. It makes sense that those programs would “prescribe” those courses as required for the particular Carolina Core component that they fulfill.," At the University of South Carolina (USC), the Carolina Core is designed to ensure a well-rounded education. While it offers a foundational set of courses, students have some flexibility within their major to choose related electives that align with their interests and program requirements. However, it's advisable to consult with your academic advisor for personalized guidance on course selection to ensure you meet all program prerequisites.","As part of the Carolina Core, you can choose from a variety of prescribed courses in categories like Writing, Humanities, and Social Sciences. These courses are designed to provide a well-rounded liberal arts education. You can consult with your advisor to select Carolina Core courses that align with your degree requirements and interests!","The Carolina Core is a set of general education requirements that all USC students must complete. Unfortunately, you cannot choose specific prescribed courses within the Carolina Core. You can, however, choose from a variety of courses within each Core area. 
"," While you can choose from various course options within the Carolina Core requirements, specific courses cannot be prescribed for individual programs of study. Explore approved courses at sc.edu/study/carolina_core.","The Carolina Core allows some flexibility in course selection. While there are specific requirements to fulfill, you often have options within each category. It's best to consult with your academic advisor to ensure your choices align with your program's requirements and your academic goals.","Yes, for the Carolina Core, you can select from a range of courses designed to meet specific general education requirements. Some programs may prescribe certain courses to meet these requirements, so it's best to consult your academic advisor for guidance tailored to your major."
Do all changes to a cross-listed course affect any cross-listed course(s) as well?,Common Reasons Proposals are Returned from the Curricula and Courses Committee: Getting approval for distributed learning for one cross-listed course does not automatically approve cross listed courses for distributed learning delivery. Separate submissions are required for each course. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/f23232.pdf)," Not always. Changes to a cross-listed course's syllabus, schedule, or instructor may affect all cross-listings. However, some updates might be specific to one listing and not impact others. Always confirm with the department handling the cross-listing for clarity.","At the University of South Carolina, changes to a cross-listed course affect all cross-listed courses. If a change is made to one course, the same change applies to its cross-listed counterparts. This ensures that both course sections have the same content and syllabus.","That's a great question!  Changes to a cross-listed course usually affect all courses listed under the same course number.  However, it's always best to double-check with the department for specific details about the course. 
"," Yes, changes to a cross-listed course typically affect all associated cross-listed courses at the University of South Carolina. This includes updates to syllabi, assignments, and exams.","Yes, changes to a cross-listed course at USC typically affect all cross-listed versions of that course. This ensures consistency across departments and programs. However, it's always best to confirm with the specific departments involved or the Office of the Registrar for any exceptions.","Yes, at USC, changes to a cross-listed course, such as scheduling or curriculum adjustments, typically affect all sections under that course code. Coordination between departments ensures consistency across cross-listed courses."
Do prerequisites have to be enforced in Banner?,"Prerequisites do not have to be enforced in Banner. However, it is recommended that they be enforced, as they are published in the Bulletin. It creates inconsistency in University sources to list prerequisites on the Bulletin, but then not enforce them in Banner."," I'm sorry, but as an AI I don't have real-time access to specific software systems like USC's Banner. I recommend contacting your university's IT department or academic advisor for accurate information about course enrollment and prerequisites.","Yes, prerequisites are enforced in Banner, the University of South Carolina's student information system! This ensures that students meet the necessary course requirements before registering for a more advanced or specialized course.473","I don't have access to specific information like Banner settings. Contact the Registrar's Office for accurate information about prerequisite enforcement in Banner. They're the best source for that! 
"," Yes, prerequisites are enforced in USC's student information system, Banner. This ensures students meet necessary requirements before enrolling in courses.","At USC, prerequisites are typically enforced in Banner, our student information system. However, there may be some flexibility depending on the specific course and department. Students should consult their academic advisors for any questions regarding prerequisite requirements or potential waivers.","Yes, prerequisites are typically enforced in Banner to ensure that students meet the necessary requirements before enrolling in certain courses at USC. This helps maintain academic standards and ensures students are prepared for the course content."
How do Carolina Core Overlay courses work?,"Carolina Core overlay courses meet two Carolina Core learning outcomes in one course. Students may apply a maximum of two overlay courses to their Carolina Core hours. All students must have a minimum of 31 hours of Carolina Core. For a list of overlay-eligible courses, visit the Carolina Core website and sort by the Overlay column in the table. Learn more with the Carolina Core Overlay Training Module (https://sc.edu/about/offices_and_divisions/provost/academicpriorities/undergradstudies/carolinacore/courses/foundational-courses.php, https://www.youtube.com/watch?v=Bed1TZJfbhs&feature=youtu.be&t=2m55s)"," Carolina Core Overlay courses at USC are designed to deepen understanding of key concepts across disciplines. They enable students to complete their major requirements with fewer courses. Typically, these overlays are offered in a shorter, more intensive format and encourage cross-listed learning. For specific details, visit USC's core curriculum page or contact the Registrar's Office.","The Carolina Core Overlay courses are a unique aspect of USC's core curriculum. These courses provide added depth and breadth to your education, allowing you to explore specific areas of interest. Overlays are compatible with various majors and career paths. I recommend checking the USCwebsite or speaking with an academic advisor for more detailed information!","Carolina Core Overlay courses allow you to fulfill multiple course requirements with a single class. For example, a history course could satisfy both a Carolina Core and a major requirement. It's a great way to streamline your academic plan! 
"," Carolina Core Overlay courses are centered around USC's core themes, offering students opportunities to explore specific topics in-depth while fulfilling general education requirements.","Carolina Core Overlay courses fulfill multiple Carolina Core requirements simultaneously. These courses are designed to meet learning outcomes for two or more Core areas, allowing students to efficiently complete their general education requirements while exploring interdisciplinary connections.",Carolina Core Overlay courses fulfill multiple general education requirements simultaneously. They allow students to efficiently meet the core curriculum requirements while also progressing in their major or electives. It's a way to streamline coursework while ensuring a well-rounded education.
How do I change my program learning outcomes?,Learning Outcomes are placed in the Academic Assessment Plan Composer . Please contact La Trice Ratcliff-Small in OIRAA with any questions regarding learning outcomes. (http://assessmentplan.ipr.sc.edu/)," To change your program learning outcomes at the University of South Carolina, contact your academic advisor or the program coordinator. They can guide you through the formal process, which may involve submitting a petition and getting approval from your department's curriculum committee. Visit the Career Center or student services office for assistance with the necessary steps.","The University of South Carolina (USC) allows students to modify their program learning outcomes (PLOs) if needed. To make changes, students should meet with their academic advisor to discuss their goals and revised PLOs. The advisor will then guide them through the formal change process, which may require an updated degree audit and approval from the department and university. It's essential to review and agree on the revised PLOs with both the advisor and department.","I don't have access to specific student records or the ability to change program learning outcomes. You'll need to contact your academic advisor or the relevant department for assistance. 
", Changes to program learning outcomes typically involve academic departments and committees. Contact your academic advisor or department head for guidance on the process at USC.,"To change program learning outcomes at USC, you'll need to work with your department chair and follow the university's curriculum revision process. This typically involves submitting a proposal to the appropriate academic committee for review and approval. Contact your department's administrative staff for specific guidance.","To change your program learning outcomes at USC, contact your academic advisor or department office. They can guide you through the necessary process and paperwork. Be sure to review the Graduate or Undergraduate Academic Policies for any additional guidelines specific to your program."
How do I know if I need a curriculum change proposal to make a change in the Bulletin?,"A curriculum change proposal is required when substantive changes are needed. Changes that are non-substantive include typos, grammar errors, formatting changes, and other changes that do not affect the meaning or interpretation of curricular information."," To propose a curriculum change at the University of South Carolina, you must follow these steps: 

1. Consult with your academic advisor or department chair.
2. Research and draft your proposal, considering USC's academic goals and policies.
3. Seek feedback from relevant faculty and stakeholders.
4. Submit the proposal to the Curriculum Committee via the USC Faculty Affairs office.

Please consult USC's official documents or contact the relevant office for specific guidance.","To make a change in the Bulletin, you'll need a Curriculum Change Proposal. This is typically initiated by your academic department and involves filling out a standard form, obtaining necessary approvals, and submitting to the graduate school or registrar's office. If you're unsure, consult with your department or the academic resources office for guidance!","You'll need a curriculum change proposal if you want to make changes to a course or program listed in the USC Bulletin. These proposals require faculty approval. 
"," If you're considering changes to your academic program, first review the Bulletin. For major modifications, a Curriculum Change Proposal may be required. Contact your academic advisor or department for specific guidance.","For changes to the USC Bulletin, you generally need a curriculum change proposal if you're altering degree requirements, adding/removing courses, or modifying program structures. Minor edits like typos may not require a proposal. Consult your department's curriculum committee or the Registrar's office for specific guidance.","To determine if you need a curriculum change proposal, check the type of change: course additions, deletions, or modifications usually require a proposal. Consult USC's Academic Programs Guidelines or contact the Office of Academic Programs for assistance."
How do I propose a course action?,"Course actions include proposing new courses, modifying or changing courses, terminating courses, and adding distributed learning to a course. Visit the Academic Programs website and scroll to the section for the action you’d like to take. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/courses/index.php)"," To propose a course action at USC, follow these steps:

1. Draft your proposal: Clearly outline your idea, its benefits, and implementation details.
2. Seek support: Discuss with peers, faculty, and relevant departments.
3. Contact your faculty advisor: Obtain their backing and advice.
4. Propose to Academic Affairs: Submit your proposal through the appropriate channels, such as a course development committee.
5. Prepare for feedback: Be open to suggestions and ready to revise your proposal.
6. Implementation: Once approved, work with stakeholders to bring the course to fruition.

For detailed procedures, consult the Office of Academic Affairs.","Exciting idea! Proposing a course action at USC involves submitting a proposal to the university's curriculum committee. Visit the USC Academic Affairs website, scroll to ""Curriculum Proposals,"" and follow the step-by-step guidelines. You'll need to provide course details, learning objectives, and assessment plans. Submit your proposal for review and approval. Let the academy acknowledge your innovative idea!","You can submit a course action proposal through the university's online portal. You'll need to provide details about the proposed course, including the course name, description, and syllabus. 
"," To propose a course action at USC, visit the respective department's website for their specific process. Generally, it involves submitting a written proposal outlining your course idea and rationale to the department chair.","To propose a course action at USC, you'll need to:

1. Consult your academic advisor
2. Complete the Course Action Proposal form
3. Gather supporting documentation
4. Submit the proposal to your department chair
5. Wait for review and approval

Contact your department for specific guidelines.","To propose a course of action at USC, contact the Office of the Registrar or your department's curriculum committee. They handle course proposals and academic changes. Ensure you follow their guidelines and provide a comprehensive rationale for your proposal."
How do I propose a program action?,"Program actions include proposing new, modifications to, or terminating degree programs, minors, concentrations, and academic certificates. Visit the Academic Programs website and scroll to the section for the action you’d like to take. (https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/program-actions/index.php)"," To propose a program action at the University of South Carolina (USC), follow these steps:

1. Identify key stakeholders: Determine who needs to be involved, such as relevant departments, faculty, or student organizations.

2. Research: Gather information about your proposal idea, similar programs, and potential challenges.

3. Develop a proposal document: Outline your idea, objectives, benefits, required resources, and a timeline.

4. Gather support: Obtain endorsements from team members, advisors, or supporters.

5. Submit the proposal: Present it to the appropriate contacts, such as your department head or program coordinator. You may also submit it through USC's program portal if available.

6. Attend to feedback: Be open to suggestions or modifications from those who review your proposal.

7. Follow-up: Keep in touch with decision-makers and remain involved to ensure progress toward implementation.

Remember, keeping your proposal concise (50 words or less) and focused is crucial for effective communication.","To propose a program action at the University of South Carolina, start by identifying a program or initiative that aligns with the university's strategic plan. Develop a proposal that outlines the program's goals, objectives, budget, and expected outcomes. Submit the proposal to the appropriate program review committee or department administrator for review and approval.","USC's student government, the Student Government Association (SGA), is the best place to propose program actions that impact the student body.  They meet regularly and welcome student input! 
"," To propose a program action at USC, visit the Office of the University Registrar's website for guidelines and necessary forms. Generally, it involves collaboration with faculty, academic units, and approval from the university governance.","To propose a program action at USC, you typically need to:

1. Develop a detailed proposal
2. Consult with your department or academic advisor
3. Submit the proposal to the appropriate committee or department head
4. Follow up and be prepared to present your idea

Contact your department for specific guidelines.","To propose a program action at USC, contact your department's academic program coordinator. They can guide you through the internal procedures and forms required for submission, usually involving departmental approval followed by submission to the university's Curriculum Management system."
How long will it take for my proposal to receive all levels of approval?,"It depends on the type of proposal submitted and if there are any external approvals required. Program actions may take between 6 months and 2 years for full review (ACAF 2.00). Review the various levels of approval needed for various types of curricular actions. See the APPS Approval Flow Chart for program actions. Also see t he Academic Programs website for CHE Timelines and Bulletin Freeze Charts. (/about/offices_and_divisions/advising/curriculum_services/approval_process/index.php, https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/docs/apps-approval-flowchart.pdf, https://sc.edu/about/offices_and_divisions/provost/planning/academicprograms/program-actions/timelines.php)"," The timeframe for your proposal approval at the University of South Carolina (USC) can vary. Initial reviews might take a few weeks. For departmental and higher-level approvals, expect several months. Contact the relevant department for a more accurate estimate based on specific guidelines and workload.","Exciting project! At USC, proposals typically go through a multi-level approval process. The timeframe can vary depending on the complexity and scope of the project. Generally, it can take anywhere from a few weeks to a few months. I recommend checking with the relevant department or office for specific timelines and guidance.","I don't have access to specific proposal timelines. You can contact the relevant department or office for the most up-to-date information on your proposal's progress.  Good luck! 
"," The approval process varies at USC, depending on the type of proposal. It can take weeks to months. Contact the relevant office for specific information on your proposal's review timeline.","The approval process for proposals at USC can vary depending on the type and complexity of the proposal. Generally, it can take several weeks to a few months to receive all levels of approval. For more specific timelines, it's best to consult with your department or the Office of Sponsored Awards Management.",Approval times vary based on the type of proposal and the involved departments. Contact the relevant office or department for specific timelines regarding your proposal.
"If my program has multiple concentrations, will a change to the program affect all of the concentrations?","Concentrations are specific areas of study within the major. Anything outside of a concentration is part of the base program. If the change is to the Carolina Core, College Requirements, Program Requirements, or Major requirements (outside of the concentration), then the change will affect all concentrations. If the change is within a specific concentration itself, then it will not affect other concentrations in the program."," Typically, changing your academic program at USC will affect all associated concentrations unless specified otherwise by the program's guidelines. Contact your program advisor for personalized advice regarding your situation.","If you have a program with multiple concentrations, a change to the program will typically affect all concentrations, unless stated otherwise by the academic department. It's always best to confirm with your academic advisor to ensure you understand any potential effects on your concentrations.","I don't have access to specific program details. It's best to reach out to your academic advisor or the relevant department to clarify how changes impact concentrations within your program. They can provide the most accurate guidance. 
"," Generally, changing your program will not impact all concentrations. However, it may depend on the specific program's rules at USC. Consult your academic advisor for personalized guidance.","It depends on the specific program and proposed changes. Generally, changes to core requirements might affect all concentrations, while changes to concentration-specific courses would only impact that particular concentration. For detailed information, consult your academic advisor or program coordinator at USC.","Changes to a program may affect all concentrations, but it depends on the specifics of the curriculum changes. Check with your academic advisor for detailed information on how revisions might impact your concentrations. They can provide the most accurate and tailored guidance."
What are critical courses on the major maps?,"Courses may be marked as critical if there is a deadline for completion or if they may cause a delay in graduation because they serve as a prerequisite in a series of courses, have prescribed sequencing, or have limited offerings. There is a description of why courses are critical for a particular program in the first program note on the back of each major map. Critical courses are explained with examples in the Major Maps Training Module . (https://www.youtube.com/watch?v=8iJrJTDzKCQ&feature=youtu.be)"," At the University of South Carolina, critical courses for a major map-related course typically include:

1. Cartography 101: Introduction to Maps - covers basics, symbols, scales.
2. GIS 101: Principles of Geographic Information Systems - essential for digital mapping.
3. Map Analysis and Interpretation - understanding spatial relationships.
4. Field Surveying Methods - practical skills for accurate data collection.
5. Cartographic Design - principles of map-making for effective communication.

Ensure to check with your specific department for tailored course recommendations.","For many majors at the University of South Carolina, critical courses are those that provide a foundation in the subject area or meet accreditation requirements. Some examples include:

* Intro to Psychology for Psychology majors
* Calculus I for STEM majors
* English composition for Humanities majors
* Introduction to Business for Business Administration majors

Please note that specific critical courses may vary depending on the major and department. Check the major map or consult with an advisor for more detailed information.","I need more information to answer your question!  Could you tell me what major you are interested in?  Major maps are specific to each academic program, so I need that context to provide you with the right critical courses.  Go Gamecocks! 
"," Critical courses on USC major maps are required for graduation, offering foundational knowledge in your chosen field. They vary by major, so check your specific map for details.","Critical courses on USC's major maps are typically foundational classes essential for progressing in a specific degree program. These courses often have minimum grade requirements and must be completed by certain semesters. Examples vary by major but may include introductory classes in math, science, or major-specific subjects.",Critical courses in USC major maps are essential for timely progress in a specific major. These courses must be taken in the recommended sequence to ensure prerequisites are met. Reviewing your specific major's map on the USC website or consulting an academic advisor can provide detailed guidance.
What are major maps?,"A major map is a layout of required courses in a given program of study, including critical courses and suggested course sequence to ensure a clear path to graduation. Major maps include universal terminology, a standard program of study, and a common 8-semester template. Access the Major Map Repository Learn more about major maps with the Major Map Training Module (/about/offices_and_divisions/advising/advisor_toolbox/majormaps.php, /about/offices_and_divisions/advising/advisor_training/training-index.php)"," At the University of South Carolina, ""major maps"" could refer to interactive digital maps that highlight important locations on campus, such as academic buildings, student centers, athletic facilities, and more. These tools can help students navigate the campus, plan their routes, and discover resources. If you're looking for specific maps or navigation tools, the USC Campus Services or IT department can provide helpful resources.","Major maps, also known as academic maps, are tailored plans that outline the coursework and requirements for a specific major at the University of South Carolina. These maps help students stay on track, ensure they're taking the right classes, and complete their degree on time. USC offers major maps for a wide range of undergraduate and graduate programs.","Major maps are comprehensive guides to the University of South Carolina's campus. They include buildings, landmarks, and important points of interest.  You can find these online or at campus information centers. 
"," Major Maps at USC are online resources guiding students through their chosen degree program. They detail course requirements, milestones, and suggested schedules, helping ensure academic success.","Major maps at USC are planning tools that outline recommended course sequences for each academic major. They help students visualize their path to graduation, including required courses, electives, and suggested timelines. Major maps are valuable resources for academic planning and staying on track for degree completion.","Major maps at USC are detailed, semester-by-semester academic plans outlining recommended courses and milestones for each degree program. They help students stay on track toward graduation, ensuring all major requirements and opportunities for enrichment, such as internships and study abroad, are included."
What are the requirements for a cross-listed course?,"“A cross-listed course is a course that is offered under more than one course subject and is not appropriate for courses with the same course subject. Once a cross-listed course is approved, the courses are viewed as equivalent and identical and should ideally be able to be taken interchangeably within degree programs which require the course.” (ACAF 2.03) Cross-listed courses must have the exact same criteria as listed below: Course Number (if possible; at minimum the course numbers for the cross-listed courses must have be at the same level, i.e., lower division, upper division, mixed, graduate) Title Course Description Pre-requisites and Co-requisites Catalog Restrictions (e.g., by student level or program) Carolina Core or GLD designations (if applicable) Grade Mode (i.e., letter grade or pass/fail) Schedule Type (e.g., lecture, lab, seminar) a. Cross-listed courses may have different course delivery and location."," At the University of South Carolina, cross-listed courses typically follow standard university guidelines. Requirements may vary, but generally, you should:

1. Check both department listings for prerequisites.
2. Ensure credit limits are not exceeded if enrolling in multiple times.
3. Consult with your academic advisor for specific guidance.

For the most accurate and current information, please refer to USC's official academic catalog or student services portal.","At the University of South Carolina, cross-listed courses are ones that are offered through multiple departments or schools. To take a cross-listed course, you need to meet the prerequisites for the course as specified by the department offering the course. Typically, you'll need to check the course catalog or consult with your academic advisor to confirm the requirements.","Cross-listed courses at USC often have different prerequisites depending on the department. It's best to check the course syllabus or contact the instructors for specific requirements. 
"," Cross-listed courses share similar content and requirements. You'll enroll under one course title, but it'll count towards both. Requirements are set by the specific department; check their syllabus or website for details.","At USC, cross-listed courses are offered by multiple departments. Students can only receive credit for the course once, regardless of which department they enroll through. Requirements may vary, but generally, students must meet prerequisites for at least one of the listed departments.","A cross-listed course at USC is offered under multiple departments or programs but counts as the same course. Students must check specific prerequisites and departmental approvals, as requirements can vary. It's essential to consult the course catalog or academic advisor for precise details."
